挨	ái	next to
无动于衷	wúdòngyúzhōng	completely indifferent
无非	wúfēi	nothing more than
无精打采	wújīngdǎcǎi	be in the blues
无赖	wúlài	rogue
无理取闹	wúlǐqǔnào	make trouble out of nothing
无能为力	wúnéngwéilì	incapable of action
无辜	wúgū	innocent
无穷无尽	wúqióngwújìn	inexhaustible
无微不至	wúwēibúzhì	considerate right down to the most trivial detail
无忧无虑	wúyōuwúlǜ	be light of heart from care
无知	wúzhī	ignorance
舞蹈	wǔdǎo	dance
武器	wǔqì	arms
武侠	wǔxiá	martial arts
武装	wǔzhuāng	armed forces
侮辱	wǔrǔ	insult
务必	wùbì	must
误差	wùchā	error
误解	wùjiě	misunderstand
物业	wùyè	property
物美价廉	wùměijiàlián	high quality and inexpensive
物资	wùzī	goods and materials
溪	xī	brook
膝盖	xīgài	knee
熄灭	xīmiè	crush out; go out
昔日	xīrì	the past
牺牲	xīshēng	sacrifice
夕阳	xīyáng	setting sun
媳妇	xífu	daughter-in-law
习俗	xísú	custom
袭击	xíjī	a surprise attack
喜闻乐见	xǐwénlèjiàn	love to see and hear
喜悦	xǐyuè	joy
系列	xìliè	series
细胞	xìbāo	cells
细菌	xìjūn	bacteria
细致	xìzhì	careful
霞	xiá	rosy clouds
狭隘	xiá'ài	narrow and limited
狭窄	xiázhǎi	narrow
峡谷	xiágǔ	canyon
下属	xiàshǔ	subordinate
先进	xiānjìn	advanced
先前	xiānqián	previously
鲜明	xiānmíng	distinct
掀起	xiānqǐ	set off
纤维	xiānwéi	fibre
弦	xián	string
嫌	xián	dislike and avoid
嫌疑	xiányí	suspicion
闲话	xiánhuà	gossip
贤惠	xiánhuì	virtuous
衔接	xiánjiē	joint
显著	xiǎnzhù	remarkable
现场	xiànchǎng	scene
现成	xiànchéng	ready-made
现状	xiànzhuàng	present situation
宪法	xiànfǎ	constitution
陷害	xiànhài	framed
陷入	xiànrù	fall into
陷阱	xiànjǐng	trap
馅儿	xiànr	filling
线索	xiànsuǒ	clue
相差	xiāngchà	differ
相等	xiāngděng	equal
相辅相成	xiāngfǔxiāngchéng	exist side by side and play a part together
相应	xiāngyìng	corresponding
镶嵌	xiāngqiàn	set, inlay
乡镇	xiāngzhèn	town
想方设法	xiǎngfāngshèfǎ	try various devices to
响亮	xiǎngliàng	loud and clear
响应	xiǎngyìng	response
巷	xiàng	alley
向导	xiàngdǎo	guide
向来	xiànglái	always
向往	xiàngwǎng	yearn for
相声	xiàngsheng	crosstalk
消除	xiāochú	eliminate
消毒	xiāodú	disinfection
消防	xiāofáng	fire control
消耗	xiāohào	consume
消灭	xiāomiè	eliminate
销毁	xiāohuǐ	destroy by melting or burning
小心翼翼	xiǎoxīnyìyì	with great care
效益	xiàoyì	benefit
肖像	xiàoxiàng	portrait
潇洒	xiāosǎ	chic
携带	xiédài	carry
协会	xiéhuì	association
协商	xiéshāng	consult
协调	xiétiáo	coordinate
协议	xiéyì	agreement
协助	xiézhù	assist
屑	xiè	chip
谢绝	xièjué	decline with thanks
泄露	xièlòu	leakage
泄气	xièqì	feel discouraged
新陈代谢	xīnchéndàixiè	the new supersedes the old
新郎	xīnláng	groom
新娘	xīnniáng	bride
新颖	xīnyǐng	novel
心得	xīndé	experience
心灵	xīnlíng	heart
心态	xīntài	mentality
心疼	xīnténg	distressed
心血	xīnxuè	blood
心眼儿	xīnyǎnr	heart, mind, intention
心甘情愿	xīngānqíngyuàn	willingly
辛勤	xīnqín	hardworking
欣慰	xīnwèi	gratified
欣欣向荣	xīnxīnxiàngróng	thriving
薪水	xīnshui	salary
信赖	xìnlài	trust; rely
信念	xìnniàn	belief
信仰	xìnyǎng	faith
信誉	xìnyù	reputation
腥	xīng	fishy
兴隆	xīnglóng	prosperous
兴旺	xīngwàng	prosperous
行政	xíngzhèng	administration
形态	xíngtài	form
刑事	xíngshì	criminal
性感	xìnggǎn	sexy
性命	xìngmìng	life
性能	xìngnéng	performance
兴高采烈	xìnggāocǎiliè	be jubilant
兴致勃勃	xìngzhìbóbó	be in the best of spirits
胸怀	xiōnghuái	mind
胸膛	xiōngtáng	chest
汹涌	xiōngyǒng	turbulent
凶恶	xiōng'è	ferocious
凶手	xiōngshǒu	murderer
雄厚	xiónghòu	abundant
雄伟	xióngwěi	magnificent
修复	xiūfù	repair
修建	xiūjiàn	build
修养	xiūyǎng	training, mastery
羞耻	xiūchǐ	shame
绣	xiù	embroidery
嗅觉	xiùjué	smell
虚假	xūjiǎ	false sham
虚荣	xūróng	vanity
虚伪	xūwěi	hypocrisy
需求	xūqiú	demand
须知	xūzhī	notice
许可	xǔkě	permit
酗酒	xùjiǔ	alcohol
畜牧	xùmù	animal husbandry
序言	xùyán	preface
喧哗	xuānhuá	uproar
宣誓	xuānshì	swear an oath
宣扬	xuānyáng	preach
悬挂	xuánguà	suspension
悬念	xuánniàn	suspense
悬殊	xuánshū	disparity
悬崖峭壁	xuányáqiàobì	steep cliff
旋律	xuánlǜ	melody
旋转	xuánzhuǎn	rotate
选拔	xuǎnbá	selection
选举	xuǎnjǔ	election
选手	xuǎnshǒu	player
炫耀	xuànyào	show off
削	xuē	cut
削弱	xuēruò	weaken; cripple
学说	xuéshuō	theory
学位	xuéwèi	academic degree
雪上加霜	xuěshàngjiāshuāng	one disaster after another
血压	xuèyā	blood pressure
熏陶	xūntáo	the influence of
循环	xúnhuán	loop
循序渐进	xúnxùjiànjìn	follow in order and advance step by step
巡逻	xúnluó	patrol
寻觅	xúnmì	looking for
压迫	yāpò	oppression
压岁钱	yāsuìqián	lucky money in new year
压缩	yāsuō	compress
压抑	yāyì	oppress; overbear
压榨	yāzhà	press
压制	yāzhì	suppress
亚军	yàjūn	runner-up
鸦雀无声	yāquèwúshēng	silent
烟花爆竹	yānhuābàozhú	fireworks and firecrackers
淹没	yānmò	flood
延期	yánqī	delay
延伸	yánshēn	extend
延续	yánxù	continue
严寒	yánhán	severe cold
严禁	yánjìn	strictly prohibit
严峻	yánjùn	stern; serious; harsh
严厉	yánlì	severe
严密	yánmì	tight
沿海	yánhǎi	coastal
言论	yánlùn	speech
炎热	yánrè	scorching hot
岩石	yánshí	rock
演变	yǎnbiàn	evolution
演习	yǎnxí	exercise
演绎	yǎnyì	deduction
演奏	yǎnzòu	play
掩盖	yǎngài	cover up
掩护	yǎnhù	cover
掩饰	yǎnshì	conceal
眼光	yǎnguāng	eye
眼色	yǎnsè	meaningful glance
眼神	yǎnshén	expression in one's eyes
验收	yànshōu	check before acceptance
验证	yànzhèng	verification
厌恶	yànwù	hate
氧气	yǎngqì	oxygen
样品	yàngpǐn	sample
摇摆	yáobǎi	swing
摇滚	yáogǔn	rock
遥控	yáokòng	remote control
遥远	yáoyuǎn	distant
谣言	yáoyán	rumor
要点	yàodiǎn	main points
要命	yàomìng	kill, extremely
要素	yàosù	essential factor
耀眼	yàoyǎn	dazzling
野蛮	yěmán	barbarism
野心	yěxīn	ambition
液体	yètǐ	liquid
一流	yīliú	first-class
依旧	yījiù	still
依据	yījù	basis
依靠	yīkào	rely on; depend on
依赖	yīlài	rely on
依托	yītuō	rely on
衣裳	yīshang	clothes
一度	yídù	once
一贯	yíguàn	consistent
一目了然	yímùliǎorán	stick out a mile
一向	yíxiàng	always
遗产	yíchǎn	heritage
遗传	yíchuán	inheritance
遗留	yíliú	left
遗失	yíshī	loss
疑惑	yíhuò	doubt; disbelieve
仪器	yíqì	instrument
仪式	yíshì	ceremony
以便	yǐbiàn	so that
以免	yǐmiǎn	in case
以往	yǐwǎng	past
以至	yǐzhì	so that; down to
以致	yǐzhì	so that
亦	yì	also
翼	yì	wing
一帆风顺	yìfānfēngshùn	everything is going smoothly
一举两得	yìjǔliǎngdé	shoot two hawks with one arrow
一如既往	yìrújìwǎng	as always
一丝不苟	yìsībùgǒu	be strict in one's demands
异常	yìcháng	abnormal
意料	yìliào	expect; anticipate
意识	yìshí	consciousness
意图	yìtú	intention
意味着	yìwèizhe	signify
意向	yìxiàng	intention
意志	yìzhì	will
毅力	yìlì	will
毅然	yìrán	resolutely; firmly
阴谋	yīnmóu	conspiracy
音响	yīnxiǎng	sound
隐蔽	yǐnbì	concealment
隐患	yǐnhuàn	hidden danger
隐瞒	yǐnmán	hide
隐私	yǐnsī	privacy
隐约	yǐnyuē	vaguely
引导	yǐndǎo	guide
引擎	yǐnqíng	engine
引用	yǐnyòng	quote
饮食	yǐnshí	diet
婴儿	yīng'ér	baby
英明	yīngmíng	wise
英勇	yīngyǒng	heroic
迎面	yíngmiàn	head-on; in one's face
盈利	yínglì	profit
应酬	yìngchou	entertainment
应邀	yìngyāo	invited
拥护	yōnghù	support
拥有	yōngyǒu	have
庸俗	yōngsú	philistine; tacky
勇于	yǒngyú	the courage to
永恒	yǒnghéng	eternal
涌现	yǒngxiàn	the emergence of
踊跃	yǒngyuè	enthusiastically
用户	yònghù	user
优胜劣汰	yōushèngliètài	survival of the fittest
优先	yōuxiān	first
优异	yōuyì	excellent
优越	yōuyuè	superior
忧郁	yōuyù	heavy-hearted
油腻	yóunì	greasy
油漆	yóuqī	paint
犹如	yóurú	like; as if; just as
有条不紊	yǒutiáobùwěn	everything in good order and well arranged
幼稚	yòuzhì	immature
诱惑	yòuhuò	tempt; lure
愚蠢	yúchǔn	stupid
愚昧	yúmèi	foolish
舆论	yúlùn	public opinion
渔民	yúmín	fisherman
与日俱增	yǔrìjùzēng	grow with each passing day
羽绒服	yǔróngfú	down jackets
宇宙	yǔzhòu	universe
愈	yù	more
预料	yùliào	expect
预期	yùqī	expect; anticipate
预算	yùsuàn	budget
预先	yùxiān	beforehand
预言	yùyán	prophesy
预兆	yùzhào	omen
玉	yù	jade
欲望	yùwàng	desire
寓言	yùyán	fable
冤枉	yuānwang	wrong; treat unjustly
元首	yuánshǒu	the heads of a state
元素	yuánsù	element
元宵节	yuánxiāojié	the Lantern Festival
圆满	yuánmǎn	satisfactorily
原告	yuángào	accuser
原理	yuánlǐ	principle
原始	yuánshǐ	original
原先	yuánxiān	original
缘故	yuángù	reason
园林	yuánlín	gardens
源泉	yuánquán	headspring
约束	yuēshù	bind; restrain
乐谱	yuèpǔ	music score
岳母	yuèmǔ	mother in law
熨	yùn	ironing
蕴藏	yùncáng	hold in store; contain
运算	yùnsuàn	operation
运行	yùnxíng	run; working
酝酿	yùnniàng	brewing
孕育	yùnyù	inoculation; breed
砸	zá	hit
杂技	zájì	acrobatics
杂交	zájiāo	hybridization
咋	zǎ	how; why
灾难	zāinàn	disaster
栽培	zāipéi	cultivate
宰	zǎi	slaughter
在意	zàiyì	care about
再接再厉	zàijiēzàilì	make persistent efforts
攒	zǎn	save
赞叹	zàntàn	praise
赞助	zànzhù	sponsor
暂且	zànqiě	for the time being
糟蹋	zāotà	waste; ruin
遭受	zāoshòu	suffer
遭殃	zāoyāng	suffer
遭遇	zāoyù	encounter
造型	zàoxíng	style; modeling
噪音	zàoyīn	noise
责怪	zéguài	blame
贼	zéi	thief
增添	zēngtiān	add
赠送	zèngsòng	give
渣	zhā	residue
扎	zhā	tie
扎实	zhāshi	solid
眨	zhǎ	blink
诈骗	zhàpiàn	fraud
摘要	zhāiyào	abstract
债券	zhàiquàn	bond
沾光	zhānguāng	gain some advantage from another
瞻仰	zhānyǎng	look at with reverence
斩钉截铁	zhǎndīngjiétiě	resolute and decisive
展示	zhǎnshì	exhibit
展望	zhǎnwàng	expectation
展现	zhǎnxiàn	to show
崭新	zhǎnxīn	completely new
战斗	zhàndòu	battle
战略	zhànlüè	strategy
战术	zhànshù	tactics
战役	zhànyì	battle
占据	zhànjù	occupy
占领	zhànlǐng	occupy
章程	zhāngchéng	constitution, regulations
障碍	zhàng'ài	obstacle
帐篷	zhàngpeng	tent
招标	zhāobiāo	call for bids
招收	zhāoshōu	recruit
朝气蓬勃	zhāoqìpéngbó	full of youthful spirit
着迷	zháomí	be fascinated
沼泽	zhǎozé	swamp
照样	zhàoyàng	all the same; as before
照耀	zhàoyào	shine
遮挡	zhēdǎng	keep out
折腾	zhēteng	toss
折	zhé	fracture
折磨	zhémó	torture
真理	zhēnlǐ	truth
真相	zhēnxiàng	fact; truth
真挚	zhēnzhì	sincere
珍贵	zhēnguì	precious
珍稀	zhēnxī	rare
珍珠	zhēnzhū	pearl
侦探	zhēntàn	detective
斟酌	zhēnzhuó	consider
枕头	zhěntou	pillow
阵地	zhèndì	position
阵容	zhènróng	lineup
镇定	zhèndìng	calm
镇静	zhènjìng	calm
振奋	zhènfèn	exciting
振兴	zhènxīng	the revitalization of
震撼	zhènhàn	shock
震惊	zhènjīng	shock
争端	zhēngduān	dispute
争夺	zhēngduó	fight for
争气	zhēngqì	try to win credit for
争先恐后	zhēngxiānkǒnghòu	strive to be the first; vie with each other
争议	zhēngyì	dispute
蒸发	zhēngfā	evaporation
征服	zhēngfú	conquer
征收	zhēngshōu	collection
正月	zhēngyuè	January (moon calendar)
挣扎	zhēngzhá	struggle
整顿	zhěngdùn	rectify
正当	zhèngdāng	proper
正负	zhèngfù	positive and negative
正规	zhèngguī	regular
正经	zhèngjing	serious
正气	zhèngqì	righteousness
正义	zhèngyì	justice
正宗	zhèngzōng	authentic
政策	zhèngcè	policy
政权	zhèngquán	regime
证实	zhèngshí	confirm
证书	zhèngshū	certificate
郑重	zhèngzhòng	solemnly
症状	zhèngzhuàng	symptom
之际	zhī jì	it's time…
枝	zhī	branch
支撑	zhīchēng	brace
支出	zhīchū	payout; expend
支流	zhīliú	tributary
支配	zhīpèi	control
支援	zhīyuán	support
支柱	zhīzhù	mainstay; backbone
知觉	zhījué	perception
知足常乐	zhīzúchánglè	happy is he who is content
脂肪	zhīfáng	fat
直播	zhíbō	on live
直径	zhíjìng	diameter
值班	zhíbān	be on duty
殖民地	zhímíndì	colony
职能	zhínéng	function
职位	zhíwèi	position
职务	zhíwù	post
执行	zhíxíng	implement
执着	zhízhuó	persistent
侄子	zhízi	nephew
指标	zhǐbiāo	index
指定	zhǐdìng	appoint
指甲	zhǐjia	nail
指令	zhǐlìng	instructions
指南针	zhǐnánzhēn	compass
指示	zhǐshì	instructions
指望	zhǐwàng	expect; figure on
指责	zhǐzé	accuse
治安	zhì'ān	public security
治理	zhìlǐ	government
制裁	zhìcái	sanction
制服	zhìfú	uniform
制约	zhìyuē	restrict
制止	zhìzhǐ	stop it
致辞	zhìcí	speech
致力	zhìlì	devote oneself to
致使	zhìshǐ	cause
智力	zhìlì	intelligence
智能	zhìnéng	intelligence
智商	zhìshāng	intelligence quotient
滞留	zhìliú	retention
志气	zhìqì	ambition
忠诚	zhōngchéng	loyal
忠实	zhōngshí	faithful
终点	zhōngdiǎn	end
终究	zhōngjiū	after all
终身	zhōngshēn	lifelong
终止	zhōngzhǐ	termination
中断	zhōngduàn	interrupt
中立	zhōnglì	neutral
中央	zhōngyāng	center
衷心	zhōngxīn	heartfelt
种子	zhǒngzi	seed
种族	zhǒngzú	race
种植	zhòngzhí	plant
肿瘤	zhǒngliú	tumour
重心	zhòngxīn	focus
众所周知	zhòngsuǒzhōuzhī	as everyone knows
州	zhōu	state
舟	zhōu	boat
粥	zhōu	porridge
周边	zhōubiān	periphery
周密	zhōumì	thorough; careful
周年	zhōunián	anniversary
周期	zhōuqī	period cycle
周折	zhōuzhé	twists and turns
周转	zhōuzhuǎn	turnover
皱纹	zhòuwén	wrinkle
昼夜	zhòuyè	day and night
株	zhū	plant (measure word)
诸位	zhūwèi	every one
逐年	zhúnián	year by year
拄	zhǔ	lean on a stick
主办	zhǔbàn	host
主导	zhǔdǎo	leading
主管	zhǔguǎn	executive director
主流	zhǔliú	main stream
主权	zhǔquán	sovereignty
主义	zhǔyì	doctrine
嘱咐	zhǔfù	charge someone with a task
住宅	zhùzhái	residence
注射	zhùshè	injection
注视	zhùshì	gaze
注释	zhùshì	note; annotation
注重	zhùzhòng	pay attention to
助理	zhùlǐ	assistant
助手	zhùshǒu	assistant
著作	zhùzuò	work
驻扎	zhùzhā	be stationed
铸造	zhùzào	casting, foundry
拽	zhuài	drag; haul
专长	zhuāncháng	expertise
专程	zhuānchéng	special-purpose trip
专利	zhuānlì	patent
专题	zhuāntí	special collection
砖	zhuān	brick
转达	zhuǎndá	convey
转让	zhuǎnràng	make over; transfer
转移	zhuǎnyí	transfer
转折	zhuǎnzhé	transition
传记	zhuànjì	biography
装备	zhuāngbèi	equipment
装卸	zhuāngxiè	loading and unloading
庄严	zhuāngyán	solemn
庄重	zhuāngzhòng	grand; superb
庄稼	zhuāngjia	crops
幢	zhuàng	building (meaure word)
壮观	zhuàngguān	grand; sublime
壮丽	zhuànglì	magnificent
壮烈	zhuàngliè	brave; heroic
追悼	zhuīdào	mour for
追究	zhuījiū	investigate
坠	zhuì	fall
准则	zhǔnzé	criterion
琢磨	zhuómó	pondering
着手	zhuóshǒu	to start
着想	zhuóxiǎng	consider
着重	zhuózhòng	emphasize
卓越	zhuóyuè	excellent
资本	zīběn	capital
资产	zīchǎn	capital; asset
资深	zīshēn	senior
资助	zīzhù	give financial aid
姿态	zītài	attitude
滋味	zīwèi	taste
滋润	zīrùn	moisturize
子弹	zǐdàn	bullet
自卑	zìbēi	inferiority
自发	zìfā	spontaneous; unprompted
自力更生	zìlìgēngshēng	rely through one's own efforts
自满	zìmǎn	complacent
自主	zìzhǔ	autonomy
踪迹	zōngjì	tail; trail; trace
宗教	zōngjiào	religion
宗旨	zōngzhǐ	purpose
棕色	zōngsè	brown
总而言之	zǒng'éryánzhī	to make a long story short
总和	zǒnghé	summation
纵横	zònghéng	in length and breadth
走廊	zǒuláng	corridor
走漏	zǒulòu	leak out
走私	zǒusī	smuggle
揍	zòu	beat
租赁	zūlìn	lease
足以	zúyǐ	enough
阻碍	zǔ'ài	hinder
阻拦	zǔlán	block off
阻挠	zǔnáo	obstruct; stand in the way
祖父	zǔfù	grandfather
祖国	zǔguó	motherland
祖先	zǔxiān	ancestors
钻研	zuānyán	study intensively
钻石	zuànshí	diamonds
嘴唇	zuǐchún	lips
罪犯	zuìfàn	criminal
尊严	zūnyán	dignity
遵循	zūnxún	follow
做主	zuòzhǔ	decide
座右铭	zuòyòumíng	motto
作弊	zuòbì	cheat
作废	zuòfèi	cancel, blank out
作风	zuòfēng	style
作息	zuòxī	work and rest
